### TABLE 00a4e7b8 n=114
00a4e7b8 print                                        fn=007878e0 dev=1
00a4e7c4 delete                                       fn=007878f0 dev=0
00a4e7d0 forcedelete                                  fn=007879a0 dev=0
00a4e7dc earthquake                                   fn=00787ed0 dev=0
00a4e7e8 playsound                                    fn=00785620 dev=0
00a4e7f4 playloopsound                                fn=007859e0 dev=0
00a4e800 stoploopsound                                fn=00785b40 dev=0
00a4e80c isplayingloopsound                           fn=00785c60 dev=0
00a4e818 makelight                                    fn=00787f50 dev=0
00a4e824 getlightcolor                                fn=00788120 dev=0
00a4e830 setlightcolor                                fn=00788230 dev=0
00a4e83c getlightintensity                            fn=00788310 dev=0
00a4e848 setlightintensity                            fn=007883c0 dev=0
00a4e854 getlightradius                               fn=007884a0 dev=0
00a4e860 setlightradius                               fn=00788550 dev=0
00a4e86c getlightfovinner                             fn=007886b0 dev=0
00a4e878 getlightfovouter                             fn=00788780 dev=0
00a4e884 setlightfovrange                             fn=00788850 dev=0
00a4e890 getlightexponent                             fn=00788ac0 dev=0
00a4e89c setlightexponent                             fn=00788b70 dev=0
00a4e8a8 getstance                                    fn=00787d60 dev=0
00a4e8b4 getentnum                                    fn=00787de0 dev=1
00a4e8c0 getentitynumber                              fn=00787e00 dev=0
00a4e8cc setmodel                                     fn=00787a30 dev=0
00a4e8d8 attach                                       fn=00683470 dev=0
00a4e8e4 linkto                                       fn=0078cbc0 dev=0
00a4e8f0 unlink                                       fn=0078cc50 dev=0
00a4e8fc istouching                                   fn=0078c870 dev=0
00a4e908 isalive                                      fn=004fbe40 dev=0
00a4e914 getspeed                                     fn=00787b00 dev=0
00a4e920 underwater                                   fn=0078b6f0 dev=0
00a4e92c isplayer                                     fn=0078b4c0 dev=0
00a4e938 islocalplayer                                fn=0078b560 dev=0
00a4e944 isai                                         fn=0078b590 dev=0
00a4e950 hasdobj                                      fn=004efda0 dev=0
00a4e95c setcompassicon                               fn=005341c0 dev=0
00a4e968 launchragdoll                                fn=0078be60 dev=0
00a4e974 show                                         fn=00520500 dev=0
00a4e980 hide                                         fn=0059e860 dev=0
00a4e98c setphysicsgravity                            fn=006507a0 dev=0
00a4e998 clearphysicsgravity                          fn=0050c1f0 dev=0
00a4e9a4 getthrottle                                  fn=00787040 dev=0
00a4e9b0 getbrake                                     fn=00787120 dev=0
00a4e9bc getmaxspeed                                  fn=00787200 dev=0
00a4e9c8 getmaxreversespeed                           fn=007872d0 dev=0
00a4e9d4 islocalclientdriver                          fn=0062efb0 dev=0
00a4e9e0 getlocalclientdriver                         fn=005d33b0 dev=0
00a4e9ec getwheelsurface                              fn=005c0cc0 dev=0
00a4e9f8 ispeelingout                                 fn=005363e0 dev=0
00a4ea04 iswheelsliding                               fn=004d10f0 dev=0
00a4ea10 iswheelcolliding                             fn=00513600 dev=0
00a4ea1c getlocalgunnerangles                         fn=005dd0f0 dev=0
00a4ea28 setstunned                                   fn=0048c540 dev=0
00a4ea34 isdriving                                    fn=005c0790 dev=0
00a4ea40 rotatepitch                                  fn=0055c290 dev=0
00a4ea4c rotateyaw                                    fn=005a60d0 dev=0
00a4ea58 rotateroll                                   fn=00440b50 dev=0
00a4ea64 rotateto                                     fn=0068fb20 dev=0
00a4ea70 moveto                                       fn=0060e930 dev=0
00a4ea7c movegravity                                  fn=00789530 dev=0
00a4ea88 movex                                        fn=005d8570 dev=0
00a4ea94 movey                                        fn=00468bd0 dev=0
00a4eaa0 movez                                        fn=006357f0 dev=0
00a4eaac rotatevelocity                               fn=004ed560 dev=0
00a4eab8 playrumbleonentity                           fn=00651a30 dev=0
00a4eac4 playrumblelooponentity                       fn=00651a30 dev=0
00a4ead0 stoprumble                                   fn=00651a30 dev=0
00a4eadc startpoisoning                               fn=007897b0 dev=0
00a4eae8 stoppoisoning                                fn=007897c0 dev=0
00a4eaf4 ispoisoned                                   fn=007897d0 dev=0
00a4eb00 issplitscreenhost                            fn=0078b630 dev=0
00a4eb0c setwatchstyle                                fn=0078b6b0 dev=0
00a4eb18 getcampos                                    fn=007897f0 dev=0
00a4eb24 getcamangles                                 fn=007898e0 dev=0
00a4eb30 useanimtree                                  fn=007899d0 dev=0
00a4eb3c hasanimtree                                  fn=00789b10 dev=0
00a4eb48 clearanim                                    fn=00789bb0 dev=0
00a4eb54 clearanimlimited                             fn=00789d00 dev=0
00a4eb60 setanim                                      fn=0078aae0 dev=0
00a4eb6c setanimlimited                               fn=0078ab10 dev=0
00a4eb78 setanimrestart                               fn=0078ab40 dev=0
