Beltfed                            off=0xa22fe8 type=10375840
displayName                        off=0x000c type=0
modeName                           off=0x00f0 type=0
gunModel                           off=0x08ec type=10
gunModel3                          off=0x08f4 type=10
gunModel5                          off=0x08fc type=10
gunModel7                          off=0x0904 type=10
gunModel9                          off=0x090c type=10
gunModel11                         off=0x0914 type=10
gunModel13                         off=0x091c type=10
gunModel15                         off=0x0924 type=10
handModel                          off=0x00ec type=10
notetrackSoundMap                  off=0x0a74 type=42
idleAnimLeft                       off=0x0a1c type=0
emptyIdleAnim                      off=0x0a20 type=0
fireAnimLeft                       off=0x0a14 type=0
lastShotAnim                       off=0x0940 type=0
detonateAnim                       off=0x09c8 type=0
meleeAnim                          off=0x0948 type=0
reloadAnim                         off=0x0950 type=0
reloadAnimLeft                     off=0x0a28 type=0
reloadEmptyAnimLeft                off=0x0a24 type=0
reloadEndAnim                      off=0x0960 type=0
reloadQuickEmptyAnim               off=0x0968 type=0
dropAnim                           off=0x0974 type=0
altRaiseAnim                       off=0x0978 type=0
quickRaiseAnim                     off=0x0980 type=0
emptyRaiseAnim                     off=0x0988 type=0
sprintInAnim                       off=0x0990 type=0
sprintOutAnim                      off=0x0998 type=0
sprintLoopEmptyAnim                off=0x09a0 type=0
lowReadyInAnim                     off=0x09a8 type=0
lowReadyOutAnim                    off=0x09b0 type=0
contFireLoopAnim                   off=0x09b8 type=0
deployAnim                         off=0x09c0 type=0
nightVisionWearAnim                off=0x09cc type=0
adsFireAnim                        off=0x09d4 type=0
adsRechamberAnim                   off=0x09dc type=0
adsDownAnim                        off=0x0a30 type=0
breakdownAnim                      off=0x09c4 type=0
dtp_loop                           off=0x09e4 type=0
dtp_empty_in                       off=0x09ec type=0
dtp_empty_out                      off=0x09f4 type=0
mantleAnim                         off=0x09fc type=0
dtpInCameraAnim                    off=0x0a04 type=0
dtpOutCameraAnim                   off=0x0a0c type=0
script                             off=0x0880 type=0
weaponClass                        off=0x0104 type=16
impactType                         off=0x010c type=19
fireType                           off=0x0114 type=32
offhandClass                       off=0x014c type=22
viewFlashEffect                    off=0x0158 type=9
pickupSound                        off=0x0160 type=0
ammoPickupSound                    off=0x0168 type=0
projectileSound                    off=0x0170 type=0
pullbackSoundPlayer                off=0x0178 type=0
crackSound                         off=0x01ac type=0
fireSoundPlayer                    off=0x0180 type=0
loopFireSoundPlayer                off=0x0188 type=0
loopFireEndSoundPlayer             off=0x0190 type=0
stopFireSoundPlayer                off=0x0198 type=0
lastShotSoundPlayer                off=0x01a0 type=0
emptyFireSoundPlayer               off=0x01a8 type=0
meleeSwipeSoundPlayer              off=0x01b8 type=0
meleeMissSound                     off=0x01c0 type=0
rechamberSoundPlayer               off=0x01c8 type=0
reloadSoundPlayer                  off=0x01d0 type=0
reloadEmptySoundPlayer             off=0x01d8 type=0
reloadStartSoundPlayer             off=0x01e0 type=0
reloadEndSoundPlayer               off=0x01e8 type=0
rotateLoopSoundPlayer              off=0x01f0 type=0
deploySoundPlayer                  off=0x01f8 type=0
finishDeploySoundPlayer            off=0x0200 type=0
